Group,ID,List,Target,ACC,RT,logRT,Critical_Filler,Word_Nonword,Relation_type,Branching
L1,L1_01,A,banoshment,1,423,6.0474,Filler,Nonword,Phonological,NA
L1,L1_01,A,unawareness,1,603,6.4019,Critical,Word,Unrelated,Left
L1,L1_01,A,unholiness,1,739,6.6053,Critical,Word,Constituent,Left
L1,L1_01,A,bictimize,1,510,6.2344,Filler,Nonword,Phonological,NA
L1,L1_01,A,unhappiness,1,370,5.9135,Critical,Word,Unrelated,Left
L1,L1_01,A,entertainer,1,689,6.5352,Filler,Word,Phonological,NA
L1,L1_01,A,unsharpness,1,821,6.7105,Critical,Word,Constituent,Left
L1,L1_01,A,fersistent,1,677,6.5177,Filler,Nonword,Phonological,NA
L1,L1_01,A,specificity,0,798,6.6821,Filler,Word,Semantic,NA
L1,L1_01,A,termination,1,610,6.4135,Filler,Word,Semantic,NA
L1,L1_01,A,unripeness,0,1035,6.9422,Critical,Word,Unrelated,Left
L1,L1_01,A,difficalty,1,610,6.4135,Filler,Nonword,Unrelated,NA
L1,L1_01,A,hospitality,1,1006,6.9137,Filler,Word,Phonological,NA
L1,L1_01,A,undeniable,1,833,6.7250,Critical,Word,Unrelated,Right
L1,L1_01,A,pastionless,1,834,6.7262,Filler,Nonword,Unrelated,NA
L1,L1_01,A,teasurement,1,685,6.5294,Filler,Nonword,Phonological,NA
L1,L1_01,A,fisterhood,1,521,6.2558,Filler,Nonword,Unrelated,NA
L1,L1_01,A,unskillful,1,740,6.6067,Critical,Word,Constituent,Right
L1,L1_01,A,feltowship,1,779,6.6580,Filler,Nonword,Phonological,NA
L1,L1_01,A,electricity,1,405,6.0039,Filler,Word,Phonological,NA
L1,L1_01,A,department,1,557,6.3226,Filler,Word,Phonological,NA
L1,L1_01,A,capotalist,1,633,6.4505,Filler,Nonword,Unrelated,NA
L1,L1_01,A,stewirdship,1,673,6.5117,Filler,Nonword,Unrelated,NA
L1,L1_01,A,unkindness,1,498,6.2106,Critical,Word,NonConstituent,Left
L1,L1_01,A,unwariness,1,1133,7.0326,Critical,Word,NonConstituent,Left
L1,L1_01,A,emuivalence,1,751,6.6214,Filler,Nonword,Unrelated,NA
L1,L1_01,A,unclearness,1,513,6.2403,Critical,Word,Constituent,Left
L1,L1_01,A,embarrassment,1,722,6.5820,Filler,Word,Semantic,NA
L1,L1_01,A,unreadable,1,665,6.4998,Critical,Word,Unrelated,Right
L1,L1_01,A,shiendship,1,583,6.3682,Filler,Nonword,Phonological,NA
L1,L1_01,A,categerize,1,823,6.7130,Filler,Nonword,Phonological,NA
L1,L1_01,A,hontractor,1,578,6.3596,Filler,Nonword,Phonological,NA
L1,L1_01,A,tegislature,1,686,6.5309,Filler,Nonword,Unrelated,NA
L1,L1_01,A,reobtainable,0,964,6.8711,Critical,Word,NonConstituent,Left
L1,L1_01,A,cegression,1,594,6.3869,Filler,Nonword,Phonological,NA
L1,L1_01,A,tublicize,1,499,6.2126,Filler,Nonword,Phonological,NA
L1,L1_01,A,resealable,1,709,6.5639,Critical,Word,Unrelated,Left
L1,L1_01,A,tranquallity,1,682,6.5250,Filler,Nonword,Unrelated,NA
L1,L1_01,A,reterminism,1,544,6.2989,Filler,Nonword,Phonological,NA
L1,L1_01,A,untruthful,1,527,6.2672,Critical,Word,Constituent,Right
L1,L1_01,A,elastecity,1,506,6.2265,Filler,Nonword,Phonological,NA
L1,L1_01,A,studious,1,550,6.3099,Filler,Word,Phonological,NA
L1,L1_01,A,gepression,1,548,6.3063,Filler,Nonword,Unrelated,NA
L1,L1_01,A,bederalism,1,560,6.3279,Filler,Nonword,Phonological,NA
L1,L1_01,A,impediment,1,734,6.5985,Filler,Word,Semantic,NA
L1,L1_01,A,unavoidable,1,1026,6.9334,Critical,Word,Unrelated,Right
L1,L1_01,A,acceleration,1,648,6.4739,Filler,Word,Semantic,NA
L1,L1_01,A,untouchable,1,502,6.2186,Critical,Word,Constituent,Right
L1,L1_01,A,journelist,0,584,6.3699,Filler,Nonword,Unrelated,NA
L1,L1_01,A,vechanize,1,440,6.0868,Filler,Nonword,Phonological,NA
L1,L1_01,A,megardless,1,573,6.3509,Filler,Nonword,Phonological,NA
L1,L1_01,A,unmovable,1,527,6.2672,Critical,Word,Constituent,Right
L1,L1_01,A,bejection,1,573,6.3509,Filler,Nonword,Unrelated,NA
L1,L1_01,A,original,1,494,6.2025,Filler,Word,Semantic,NA
L1,L1_01,A,gresidential,1,448,6.1048,Filler,Nonword,Unrelated,NA
L1,L1_01,A,rumiliation,1,611,6.4151,Filler,Nonword,Unrelated,NA
L1,L1_01,A,merformance,1,530,6.2729,Filler,Nonword,Unrelated,NA
L1,L1_01,A,ocservatory,1,513,6.2403,Filler,Nonword,Phonological,NA
L1,L1_01,A,ahvertiser,1,526,6.2653,Filler,Nonword,Phonological,NA
L1,L1_01,A,candidacy,1,541,6.2934,Filler,Word,Phonological,NA
L1,L1_01,A,supplement,1,596,6.3902,Filler,Word,Phonological,NA
L1,L1_01,A,megulation,1,480,6.1738,Filler,Nonword,Phonological,NA
L1,L1_01,A,gategorical,1,500,6.2146,Filler,Nonword,Unrelated,NA
L1,L1_01,A,nistributor,1,484,6.1821,Filler,Nonword,Unrelated,NA
L1,L1_01,A,ungraceful,1,470,6.1527,Critical,Word,Constituent,Right
L1,L1_01,A,rospitalize,1,517,6.2480,Filler,Nonword,Unrelated,NA
L1,L1_01,A,crofessional,1,486,6.1862,Filler,Nonword,Unrelated,NA
L1,L1_01,A,uneventful,1,631,6.4473,Critical,Word,Unrelated,Right
L1,L1_01,A,mitigation,0,476,6.1654,Filler,Word,Semantic,NA
L1,L1_01,A,accentuation,0,1003,6.9108,Filler,Word,Semantic,NA
L1,L1_01,A,literary,1,645,6.4693,Filler,Word,Phonological,NA
L1,L1_01,A,haturalism,1,588,6.3767,Filler,Nonword,Unrelated,NA
L1,L1_01,A,unthankful,1,539,6.2897,Critical,Word,Unrelated,Right
L1,L1_01,A,recomputable,0,1154,7.0510,Critical,Word,Unrelated,Left
L1,L1_01,A,readjustable,1,605,6.4052,Critical,Word,Unrelated,Left
L1,L1_01,A,property,1,561,6.3297,Filler,Word,Phonological,NA
L1,L1_01,A,university,1,621,6.4313,Filler,Word,Semantic,NA
L1,L1_01,A,frosperous,1,558,6.3244,Filler,Nonword,Phonological,NA
